study	cond	sex	yoke	video	target	stim	start_ms_abs	att_on_ms_abs	att_off_ms_abs	att_dur_ms	poi_on_ms_abs	poi_off_ms_abs	poi_dur_ms	out_ms_abs
ET_PIP	adul	0	F1	wom1	cup1	F1_wom1_cup1	0	2800	4160	1360	5040	6320	1280	7320
ET_PIP	adul	0	F1	wom1	cup2	F1_wom1_cup2	0	2680	4600	1920	5320	6480	1160	7920
ET_PIP	adul	0	F1	wom1	cup3	F1_wom1_cup3	0	2640	3800	1160	4760	5520	760	6560
ET_PIP	peer	0	F1	gir1	cup1	F1_gir1_cup1	0	2360	4560	2200	5120	6720	1600	7520
ET_PIP	peer	0	F1	gir1	cup2	F1_gir1_cup2	0	2520	4760	2240	5520	6480	960	7920
ET_PIP	peer	0	F1	gir1	cup3	F1_gir1_cup3	0	2400	3720	1320	4520	5560	1040	6560
ET_PIP	adul	0	F2	wom2	cup1	F2_wom2_cup1	0	3000	3680	680	4440	5640	1200	6280
ET_PIP	adul	0	F2	wom2	cup2	F2_wom2_cup2	0	2720	4280	1560	4920	5760	840	6440
ET_PIP	adul	0	F2	wom2	cup3	F2_wom2_cup3	0	2800	4840	2040	5600	6960	1360	7960
ET_PIP	peer	0	F2	gir2	cup1	F2_gir2_cup1	0	2600	3920	1320	4520	5800	1280	6320
ET_PIP	peer	0	F2	gir2	cup2	F2_gir2_cup2	0	2520	4440	1920	4920	6080	1160	6880
ET_PIP	peer	0	F2	gir2	cup3	F2_gir2_cup3	0	2720	5120	2400	6280	6880	600	7960
ET_PIP	adul	0	F3	wom3	cup1	F3_wom3_cup1	0	2640	4640	2000	5400	6880	1480	7680
ET_PIP	adul	0	F3	wom3	cup2	F3_wom3_cup2	0	2280	4680	2400	5480	6240	760	7120
ET_PIP	adul	0	F3	wom3	cup3	F3_wom3_cup3	0	2640	5280	2640	5920	6400	480	7240
ET_PIP	peer	0	F3	gir3	cup1	F3_gir3_cup1	0	2520	4960	2440	5400	6720	1320	7560
ET_PIP	peer	0	F3	gir3	cup2	F3_gir3_cup2	0	2400	4800	2400	5400	6160	760	7000
ET_PIP	peer	0	F3	gir3	cup3	F3_gir3_cup3	0	2320	5360	3040	5960	6600	640	7240
ET_PIP	adul	1	M1	man1	cup1	M1_man1_cup1	0	2560	3480	920	4160	6040	1880	7080
ET_PIP	adul	1	M1	man1	cup2	M1_man1_cup2	0	4240	5160	920	5480	8320	2840	9200
ET_PIP	adul	1	M1	man1	cup3	M1_man1_cup3	0	2560	4000	1440	4960	6120	1160	6920
ET_PIP	peer	1	M1	boy1	cup1	M1_boy1_cup1	0	2520	3400	880	4240	6000	1760	6840
ET_PIP	peer	1	M1	boy1	cup2	M1_boy1_cup2	0	3960	5280	1320	5480	8120	2640	8560
ET_PIP	peer	1	M1	boy1	cup3	M1_boy1_cup3	0	2640	4000	1360	5320	6440	1120	7000
ET_PIP	adul	1	M2	man2	cup1	M2_man2_cup1	0	4080	5560	1480	6200	7200	1000	8120
ET_PIP	adul	1	M2	man2	cup2	M2_man2_cup2	0	4160	6480	2320	7000	8120	1120	8880
ET_PIP	adul	1	M2	man2	cup3	M2_man2_cup3	0	4000	5080	1080	5680	7720	2040	8480
ET_PIP	peer	1	M2	boy2	cup1	M2_boy2_cup1	0	4080	5480	1400	6560	7640	1080	8120
ET_PIP	peer	1	M2	boy2	cup2	M2_boy2_cup2	0	4160	6480	2320	7160	8440	1280	9040
ET_PIP	peer	1	M2	boy2	cup3	M2_boy2_cup3	0	4040	5360	1320	6160	8120	1960	9040
ET_PIP	adul	1	M3	man3	cup1	M3_man3_cup1	0	4320	6560	2240	7160	8160	1000	8880
ET_PIP	adul	1	M3	man3	cup2	M3_man3_cup2	0	2640	4160	1520	4720	7880	3160	9000
ET_PIP	adul	1	M3	man3	cup3	M3_man3_cup3	0	2600	3080	480	3560	8800	5240	9480
ET_PIP	peer	1	M3	boy3	cup1	M3_boy3_cup1	0	4000	6760	2760	7280	8320	1040	9480
ET_PIP	peer	1	M3	boy3	cup2	M3_boy3_cup2	0	2920	3960	1040	4520	8160	3640	9080
ET_PIP	peer	1	M3	boy3	cup3	M3_boy3_cup3	0	2560	3080	520	3480	9080	5600	9480
