"stimulus"	"study"	"age"	"condition"	"gender"	"yoke_video"	"version"	"side"	"ID"	"choices"	"light"	"which_cup"	"correct_choice"	"time_win"	"roi_c1"	"roi_c2"	"roi_c3"	"roi_cor"
"F1_wom1_cup3-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"3"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup3-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"3"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup3-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"3"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup3-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
"F1_wom1_cup3-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"3"	1	"time5"	0	NA	1	1
"F1_wom1_cup1-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup1-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup1-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup1-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
"F1_wom1_cup1-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time5"	NA	NA	NA	NA
"F1_wom1_cup2-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup2-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup2-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup2-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
"F1_wom1_cup2-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time5"	NA	NA	NA	NA
