"trial.count"	"stimulus"	"study"	"age"	"condition"	"gender"	"yoke_video"	"version"	"side"	"ID"	"choices"	"light"	"which_cup"	"correct_choice"	"time_win"	"roi_c1"	"roi_c2"	"roi_c3"	"roi_cor"
1	"F1_wom1_cup3-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
2	"F1_wom1_cup1-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
3	"F1_wom1_cup2-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
4	"F1_wom1_cup1-15"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
5	"F1_wom1_cup3-17"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
6	"F1_wom1_cup2-19"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
7	"F1_wom1_cup3-21"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
8	"F1_wom1_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
9	"F1_wom1_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
1	"F1_wom1_cup1-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time4"	1	NA	0	1
2	"F1_wom1_cup2-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
3	"F1_wom1_cup3-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
4	"F1_wom1_cup2-15"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
5	"F1_wom1_cup1-17"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time4"	1	NA	0	1
6	"F1_wom1_cup3-19"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
7	"F1_wom1_cup1-21"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
8	"F1_wom1_cup3-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
9	"F1_wom1_cup2-25"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
1	"F2_wom2_cup1-9"	"ETPIP"	"M24"	"adul"	"0"	"f2"	"wom2"	"lef"	"245146"	"1132312X1"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
2	"F2_wom2_cup2-11"	"ETPIP"	"M24"	"adul"	"0"	"f2"	"wom2"	"lef"	"245146"	"1132312X1"	"darks"	"1"	0	"time4"	NA	NA	NA	NA
3	"F2_wom2_cup3-13"	"ETPIP"	"M24"	"adul"	"0"	"f2"	"wom2"	"lef"	"245146"	"1132312X1"	"darks"	"3"	1	"time4"	0	NA	1	1
4	"F2_wom2_cup2-15"	"ETPIP"	"M24"	"adul"	"0"	"f2"	"wom2"	"lef"	"245146"	"1132312X1"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
5	"F2_wom2_cup3-17"	"ETPIP"	"M24"	"adul"	"0"	"f2"	"wom2"	"lef"	"245146"	"1132312X1"	"darks"	"3"	1	"time4"	0	NA	1	1
6	"F2_wom2_cup1-19"	"ETPIP"	"M24"	"adul"	"0"	"f2"	"wom2"	"lef"	"245146"	"1132312X1"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
7	"F2_wom2_cup2-21"	"ETPIP"	"M24"	"adul"	"0"	"f2"	"wom2"	"lef"	"245146"	"1132312X1"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
8	"F2_wom2_cup3-23"	"ETPIP"	"M24"	"adul"	"0"	"f2"	"wom2"	"lef"	"245146"	"1132312X1"	"darks"	NA	NA	"time4"	0	NA	1	1
