nr	slot	ET	age_number	study	age	cond	sex	video	yoke	left_right	id	agem	aged	trial	min	sec	hide	choice	corr	valid	imitation	imi_what	imitator	daycare	oldersibs	sibs	sib_age1	sib_age2	sib_age3	friends	q1a	q1b	q2	q3	q4	q5	q6	q6_rev	q7	peer_mean
1	1		26	ETPIP	M24	peer	1	boy1	m1	lef	8864388	26	808	1	5	3	2	2	1	in	0	0	0	1	1	1	5	na	na	1	40	84	5	5	5	5	2	4	4	4,666666667
1	1		26	ETPIP	M24	peer	1	boy1	m1	lef	8864388	26	808	2	5	50	1	2	0	in	0	0	0	1	1	1	5	na	na	1	40	84	5	5	5	5	2	4	4	4,666666667
1	1		26	ETPIP	M24	peer	1	boy1	m1	lef	8864388	26	808	3	6	35	3	2	0	in	0	0	0	1	1	1	5	na	na	1	40	84	5	5	5	5	2	4	4	4,666666667
1	1		26	ETPIP	M24	peer	1	boy1	m1	lef	8864388	26	808	4	7	25	1	2	0	in	0	0	0	1	1	1	5	na	na	1	40	84	5	5	5	5	2	4	4	4,666666667
1	1		26	ETPIP	M24	peer	1	boy1	m1	lef	8864388	26	808	5	8	4	3	1	0	in	0	0	0	1	1	1	5	na	na	1	40	84	5	5	5	5	2	4	4	4,666666667
1	1		26	ETPIP	M24	peer	1	boy1	m1	lef	8864388	26	808	6	8	50	2	1	0	in	0	0	0	1	1	1	5	na	na	1	40	84	5	5	5	5	2	4	4	4,666666667
1	1		26	ETPIP	M24	peer	1	boy1	m1	lef	8864388	26	808	7	9	35	1	2	0	in	0	0	0	1	1	1	5	na	na	1	40	84	5	5	5	5	2	4	4	4,666666667
1	1		26	ETPIP	M24	peer	1	boy1	m1	lef	8864388	26	808	8	10	30	2	1	0	in	0	0	0	1	1	1	5	na	na	1	40	84	5	5	5	5	2	4	4	4,666666667
1	1		26	ETPIP	M24	peer	1	boy1	m1	lef	8864388	26	808	9	11	30	3	1	0	in	0	0	0	1	1	1	5	na	na	1	40	84	5	5	5	5	2	4	4	4,666666667
13	2	ET	25	ETPIP	M24	peer	1	boy1	m1	rig	8981280	25	789	1	4	20	1	1	1	in	0	0	0	1	1	1	5	0	0	1	30	50	4	5	3	4	3	3	3	3,666666667
13	2	ET	25	ETPIP	M24	peer	1	boy1	m1	rig	8981280	25	789	2	5	0	3	1	0	in	0	0	0	1	1	1	5	0	0	1	30	50	4	5	3	4	3	3	3	3,666666667
13	2	ET	25	ETPIP	M24	peer	1	boy1	m1	rig	8981280	25	789	3	5	40	2	2	1	in	0	0	0	1	1	1	5	0	0	1	30	50	4	5	3	4	3	3	3	3,666666667
13	2	ET	25	ETPIP	M24	peer	1	boy1	m1	rig	8981280	25	789	4	6	17	3	2	0	in	0	0	0	1	1	1	5	0	0	1	30	50	4	5	3	4	3	3	3	3,666666667
13	2	ET	25	ETPIP	M24	peer	1	boy1	m1	rig	8981280	25	789	5	6	55	1	2	0	in	0	0	0	1	1	1	5	0	0	1	30	50	4	5	3	4	3	3	3	3,666666667
13	2	ET	25	ETPIP	M24	peer	1	boy1	m1	rig	8981280	25	789	6	7	40	2	2	1	in	0	0	0	1	1	1	5	0	0	1	30	50	4	5	3	4	3	3	3	3,666666667
13	2	ET	25	ETPIP	M24	peer	1	boy1	m1	rig	8981280	25	789	7	8	14	1	2	0	in	0	0	0	1	1	1	5	0	0	1	30	50	4	5	3	4	3	3	3	3,666666667
13	2	ET	25	ETPIP	M24	peer	1	boy1	m1	rig	8981280	25	789	8	8	55	2	2	1	in	0	0	0	1	1	1	5	0	0	1	30	50	4	5	3	4	3	3	3	3,666666667
13	2	ET	25	ETPIP	M24	peer	1	boy1	m1	rig	8981280	25	789	9	9	30	3	2	0	in	0	0	0	1	1	1	5	0	0	1	30	50	4	5	3	4	3	3	3	3,666666667
5	3		26	ETPIP	M24	peer	1	boy2	m2	lef	8869392	26	796	1	4	10	1	2	0	in	0	0	0	1	0	0	na	na	na	1	30	0	3	3	4	4	4	2	2	3
5	3		26	ETPIP	M24	peer	1	boy2	m2	lef	8869392	26	796	2	5	0	3	2	0	in	0	0	0	1	0	0	na	na	na	1	30	0	3	3	4	4	4	2	2	3
5	3		26	ETPIP	M24	peer	1	boy2	m2	lef	8869392	26	796	3	5	45	2	2	1	in	0	0	0	1	0	0	na	na	na	1	30	0	3	3	4	4	4	2	2	3
5	3		26	ETPIP	M24	peer	1	boy2	m2	lef	8869392	26	796	4	6	25	3	3	1	in	0	0	0	1	0	0	na	na	na	1	30	0	3	3	4	4	4	2	2	3
5	3		26	ETPIP	M24	peer	1	boy2	m2	lef	8869392	26	796	5	7	10	1	2	0	in	0	0	0	1	0	0	na	na	na	1	30	0	3	3	4	4	4	2	2	3
5	3		26	ETPIP	M24	peer	1	boy2	m2	lef	8869392	26	796	6	7	55	2	2	1	in	0	0	0	1	0	0	na	na	na	1	30	0	3	3	4	4	4	2	2	3
5	3		26	ETPIP	M24	peer	1	boy2	m2	lef	8869392	26	796	7	8	35	1	2	0	in	0	0	0	1	0	0	na	na	na	1	30	0	3	3	4	4	4	2	2	3
5	3		26	ETPIP	M24	peer	1	boy2	m2	lef	8869392	26	796	8	9	25	3	2	0	in	0	0	0	1	0	0	na	na	na	1	30	0	3	3	4	4	4	2	2	3
5	3		26	ETPIP	M24	peer	1	boy2	m2	lef	8869392	26	796	9	10	0	2	2	1	in	0	0	0	1	0	0	na	na	na	1	30	0	3	3	4	4	4	2	2	3
17	4	ET	25	ETPIP	M24	peer	1	boy2	m2	rig	8822520	25	785	1	3	25	1	1	1	in	0	0	1	1	1	1	4	na	na	1	40	50	4	5	5	5	2	4	5	4,666666667
17	4	ET	25	ETPIP	M24	peer	1	boy2	m2	rig	8822520	25	785	2	4	10	3	3	1	in	0	0	1	1	1	1	4	na	na	1	40	50	4	5	5	5	2	4	5	4,666666667
17	4	ET	25	ETPIP	M24	peer	1	boy2	m2	rig	8822520	25	785	3	4	50	2	2	1	in	0	0	1	1	1	1	4	na	na	1	40	50	4	5	5	5	2	4	5	4,666666667
17	4	ET	25	ETPIP	M24	peer	1	boy2	m2	rig	8822520	25	785	4	5	10	1	1	1	in	1	att	1	1	1	1	4	na	na	1	40	50	4	5	5	5	2	4	5	4,666666667
17	4	ET	25	ETPIP	M24	peer	1	boy2	m2	rig	8822520	25	785	5	6	10	2	2	1	in	0	0	1	1	1	1	4	na	na	1	40	50	4	5	5	5	2	4	5	4,666666667
17	4	ET	25	ETPIP	M24	peer	1	boy2	m2	rig	8822520	25	785	6	7	0	3	3	1	in	0	0	1	1	1	1	4	na	na	1	40	50	4	5	5	5	2	4	5	4,666666667
17	4	ET	25	ETPIP	M24	peer	1	boy2	m2	rig	8822520	25	785	7	7	30	1	1	1	in	0	0	1	1	1	1	4	na	na	1	40	50	4	5	5	5	2	4	5	4,666666667
17	4	ET	25	ETPIP	M24	peer	1	boy2	m2	rig	8822520	25	785	8	8	10	2	2	1	in	1	att	1	1	1	1	4	na	na	1	40	50	4	5	5	5	2	4	5	4,666666667
17	4	ET	25	ETPIP	M24	peer	1	boy2	m2	rig	8822520	25	785	9	8	48	3	3	1	in	0	0	1	1	1	1	4	na	na	1	40	50	4	5	5	5	2	4	5	4,666666667
0	5	ET	26	ETPIP	M24	peer	1	boy3	m3	lef	8833752	26	801	1	5	15	3	2	0	in	0	0	0	0	1	1	4	na	na	1	8	8	4	5	5	5	3	3	3	4,166666667
0	5	ET	26	ETPIP	M24	peer	1	boy3	m3	lef	8833752	26	801	2	6	6	1	2	0	in	0	0	0	0	1	1	4	na	na	1	8	8	4	5	5	5	3	3	3	4,166666667
0	5	ET	26	ETPIP	M24	peer	1	boy3	m3	lef	8833752	26	801	3	6	45	2	2	1	in	0	0	0	0	1	1	4	na	na	1	8	8	4	5	5	5	3	3	3	4,166666667
